"year","month","ts","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1891,10,1891.79,"1891-10-15 00:00:00",-0.760204,-1.18938,-0.844802,-0.040621,0.362399,0.222854,0.246354,0.386837,-0.0631793,-0.163605,-0.761375,-0.490829
1891,11,1891.88,"1891-11-15 00:00:00",-0.463913,-1.351,-1.33004,-1.05119,-0.288337,0.110152,-0.0106305,0.0246822,0.172845,-0.236473,-0.333279,-0.908224
1891,12,1891.96,"1891-12-15 00:00:00",0.840453,0.275313,-0.261648,-0.596687,-0.520092,0.05755,0.404114,0.286533,0.305709,0.419505,0.0154614,-0.0783397
1892,1,1892.04,"1892-1-15 00:00:00",0.40667,0.769654,0.367111,-0.108405,-0.408874,-0.361024,0.14307,0.471066,0.357788,0.370569,0.474385,0.0845118
1892,2,1892.12,"1892-2-15 00:00:00",0.268592,0.373573,0.827888,0.36977,-0.0662832,-0.338102,-0.296018,0.165896,0.483988,0.376864,0.386256,0.481916
1892,3,1892.21,"1892-3-15 00:00:00",-0.684953,-0.321824,-0.109627,0.346858,0.050959,-0.329922,-0.565847,-0.516917,-0.0470972,0.260813,0.160685,0.181931
1892,4,1892.29,"1892-4-15 00:00:00",-0.875814,-1.19682,-0.780872,-0.526202,-0.00166391,-0.264289,-0.610084,-0.831772,-0.771234,-0.272767,0.0383376,-0.0583139
1892,5,1892.38,"1892-5-15 00:00:00",-0.833437,-1.41614,-1.59138,-1.14681,-0.874135,-0.30925,-0.536267,-0.842939,-1.04541,-0.96967,-0.475132,-0.168759
1892,6,1892.46,"1892-6-15 00:00:00",0.529658,-0.224317,-0.750262,-1.06312,-0.780656,-0.595086,-0.142405,-0.358359,-0.645336,-0.835813,-0.779612,-0.3438
1892,7,1892.54,"1892-7-15 00:00:00",-1.01611,-0.46694,-0.995051,-1.24648,-1.47365,-1.20239,-1.00516,-0.5389,-0.718618,-0.959886,-1.12217,-1.06758
1892,8,1892.62,"1892-8-15 00:00:00",-1.16844,-1.45525,-0.977607,-1.27477,-1.53767,-1.69517,-1.46778,-1.28924,-0.831655,-0.995125,-1.2103,-1.35538
1892,9,1892.71,"1892-9-15 00:00:00",0.589996,-0.369899,-0.863845,-0.589581,-0.868853,-1.11675,-1.28402,-1.11466,-0.969882,-0.602637,-0.76167,-0.970837
1892,10,1892.79,"1892-10-15 00:00:00",0.492679,0.671951,-0.0407105,-0.516868,-0.335163,-0.605356,-0.859075,-1.03535,-0.908803,-0.789122,-0.459799,-0.615861
1892,11,1892.88,"1892-11-15 00:00:00",-1.7602,-0.902048,-0.29139,-0.810085,-1.13423,-0.902226,-1.14954,-1.35753,-1.47288,-1.32455,-1.21043,-0.860549
1892,12,1892.96,"1892-12-15 00:00:00",-0.283846,-1.4832,-0.798747,-0.485781,-0.971716,-1.24969,-1.03777,-1.2858,-1.49207,-1.5696,-1.43458,-1.30433
1893,1,1893.04,"1893-1-15 00:00:00",-0.448588,-0.580603,-1.52305,-0.999178,-0.690492,-1.13364,-1.38262,-1.19456,-1.42545,-1.60254,-1.67281,-1.55282
1893,2,1893.12,"1893-2-15 00:00:00",1.39652,0.759595,0.355385,-0.465223,-0.224816,-0.0183192,-0.435107,-0.761138,-0.62981,-0.867652,-1.05094,-1.14871
1893,3,1893.21,"1893-3-15 00:00:00",-0.509802,0.745077,0.324771,0.0331455,-0.658579,-0.426222,-0.216413,-0.602638,-0.897496,-0.766498,-0.990116,-1.16794
1893,4,1893.29,"1893-4-15 00:00:00",-4.22941,-2.43576,-0.480191,-0.77058,-0.843879,-1.49336,-1.16878,-0.903081,-1.27002,-1.4975,-1.34646,-1.55883
1893,5,1893.38,"1893-5-15 00:00:00",-1.01251,-3.12441,-2.67634,-0.945757,-1.17159,-1.1684,-1.75925,-1.42219,-1.15808,-1.4876,-1.69967,-1.54867
